Tube_ID,Plot_ID,depth,pH,Comments
1,WV_H_TG_05,1,5.68,
2,AA_H_T_02,1,5.55,
3,HV_H_R_03,1,4.62,
4,WV_H_TG_01,1,5.28,
5,DZ_H_R_01,0,4.45,Ines ACCIDENTALLY threw the rest of sample out
6,AS_H_T_01,0,5.29,
7,HV_H_R_02,1,5.11,
8,DZ_H_R_05,0,5.48,
9,WV_H_TG_02,1,5.26,
10,RK_H_T_05,1,5.73,
11,HV_H_R_05,1,4.82,
12,DV_H_R_02,0,4.33,
13,DZ_H_R_04,1,5.32,
14,RK_H_TG_03,0,5.6,
15,HV_H_R_04,1,4.77,
16,RK_H_T_04,1,5.61,
17,RK_H_T_02,0,5.7,
18,SD_H_T_03,1,5.59,
19,RK_H_T_03,0,6.04,
20,SD_H_T_05,0,5.27,
21,AS_H_T_05,0,5.51,
22,AS_H_T_04,1,6.1,
23,RK_H_TG_01,1,6.14,
24,HV_H_R_01,1,4.88,
25,HV_H_R_04,0,4.72,
26,BH_B_TG_02,1,3.05,
27,DZ_H_R_03,1,5.6,
28,DZ_H_R_02,0,5.31,
29,RK_H_T_01,0,5.33,
30,AS_H_T_02,1,5.84,
31,WV_B_T_03,1,4.3,
32,RK_H_TG_05,1,5.71,
33,HV_H_R_05,0,4.55,
34,VV_B_M_04,0,5.4,
35,DZ_H_R_04,0,4.97,
36,DZ_H_R_01,1,4.83,
37,GG_B_TG_04,1,8.49,
38,RK_H_TG_02,0,6.68,
39,AA_H_T_01,0,5.68,
40,HB_B_TG_01,0,7.03,
1,SH_B_T_04,1,5.79,
2,SB_B_TG_02,1,6.44,
3,SD_H_T_03,0,5.6,
4,SD_H_T_01,0,5.47,
5,BM_B_R_02,1,7.06,
6,RK_H_T_05,0,5.63,
7,LS_B_R_01,0,4.73,
8,WV_B_T_02,1,5.02,
9,WW_B_R_02,1,5.36,
10,BK_B_T_03,1,7.05,
11,KD_B_R_04,1,5.43,
12,SD_H_T_01,1,5.43,
13,SV_B_R_02,1,4.33,
14,LM_B_T_03,1,7.61,
15,DV_H_R_05,0,5,
16,KD_B_R_02,0,5.92,
17,BK_B_T_05,0,6.56,
18,AA_H_T_04,1,5.35,
19,SV_B_TG_01,0,5.81,
20,SD_H_T_02,1,5.53,
21,BK_B_TG_04,1,8.06,
22,LS_B_R_05,1,4.84,
23,AA_H_T_04,0,5.14,
24,GG_B_TG_02,0,5.54,
25,BK_B_T_01,0,6.82,
26,BK_B_TG2_05,1,5.43,
27,GG_B_TG_03,1,8.59,
28,BK_B_TG2_02,1,6.09,
29,SV_B_R_03,0,4.88,
30,KD_B_R_03,1,5.96,
1,RK_H_T_01,1,7.19,
2,LS_B_R_03,1,5.37,
3,WW_B_R_04,0,5.84,
4,SV_B_R_03,1,5.9,
5,BH_B_TG_03,0,5.5,Left some big chunks in the bag because the soil was really hard; solution also not really mixed as well as other samples
6,AS_H_T_01,1,6.12,
7,SH_B_T_04,0,5.83,
8,BK_B_T_04,1,6.19,Accidentally broke and taped the bag
9,LM_B_T_01,1,6.53,
10,SV_B_TG_02,1,6.58,
11,SV_B_R_05,1,5.02,
12,SB_B_TG_01,0,5.92,
13,WV_H_TG_04,1,5.6,
14,WV_H_TG_03,1,5.48,
15,WV_B_T_01,0,5.4,
16,HB_B_TG_03,0,7.68,
17,HB_B_TG_04,0,7.6,
18,WW_B_R_05,1,6.15,
19,SM_B_M_03,0,4.43,Prob not enough for 2nd analysis; very peaty
20,WV_H_TG_03,0,5.45,
1,BK_B_R_02,1,6.5,
2,BK_B_R_03,1,6.76,
3,SH_B_T_05,0,5.66,
4,SH_B_T_02,1,5.83,
5,SH_B_T_03,1,5.95,
6,SB_B_TG_04,0,6.15,
7,SB_B_TG_04,1,6.48,
8,LM_B_T_05,0,7.21,
9,LM_B_T_03,0,6.52,
10,GG_B_TG_04,0,8.66,
11,GG_B_TG_01,1,5.83,
12,SV_B_R_01,0,6.54,
13,SV_B_R_05,0,4.88,first measurement was 5.01
14,BK_B_T_02,0,6.89,
15,BK_B_TG_04,0,7.59,
16,BH_B_TG_05,1,4.39,
17,WZ_B_TG_01,1,6.11,
18,WV_B_T_04,0,5.02,
19,WW_B_R_05,0,5.63,
20,KD_B_R_01,1,6.58,
