site_ID,grassland_type,restoration_measure,species_richness,shannon_index,depth,pH
AA_T_01,H,T,15,2.48,0,5.68
AA_T_01,H,T,15,2.48,1,5.66
AA_T_02,H,T,7,1.36,1,5.55
AA_T_02,H,T,7,1.36,0,5.4
AA_T_03,H,T,21,2.81,1,5.16
AA_T_03,H,T,21,2.81,0,5.31
AA_T_04,H,T,15,2.31,1,5.35
AA_T_04,H,T,15,2.31,0,5.14
AA_T_05,H,T,14,1.8,0,5.31
AA_T_05,H,T,14,1.8,1,5.79
AS_T_01,H,T,7,1.56,0,5.29
AS_T_01,H,T,7,1.56,1,6.12
AS_T_02,H,T,11,1.92,1,5.84
AS_T_02,H,T,11,1.92,0,5.11
AS_T_03,H,T,16,2.35,1,5.79
AS_T_03,H,T,16,2.35,0,5.88
AS_T_04,H,T,3,0.58,1,6.1
AS_T_04,H,T,3,0.58,0,5.75
AS_T_05,H,T,9,1.71,0,5.51
AS_T_05,H,T,9,1.71,1,5.86
BH_TG_01,B,TG,18,2.28,0,5.72
BH_TG_01,B,TG,18,2.28,1,5.9
BH_TG_02,B,TG,21,2.56,1,3.05
BH_TG_02,B,TG,21,2.56,0,3.24
BH_TG_03,B,TG,23,2.4,0,5.5
BH_TG_03,B,TG,23,2.4,1,4.75
BH_TG_04,B,TG,23,2.66,0,5.58
BH_TG_04,B,TG,23,2.66,1,3.98
BH_TG_05,B,TG,20,2.48,1,4.39
BH_TG_05,B,TG,20,2.48,0,5.29
BK_R_01,B,R,20,1.96,1,7.44
BK_R_01,B,R,20,1.96,0,6.4
BK_R_02,B,R,26,2.23,1,6.5
BK_R_02,B,R,26,2.23,0,5.41
BK_R_03,B,R,27,2.58,1,6.76
BK_R_03,B,R,27,2.58,0,5.64
BK_R_04,B,R,31,2.84,1,6.73
BK_R_04,B,R,31,2.84,0,5.61
BK_R_05,B,R,26,2.24,0,5.88
BK_R_05,B,R,26,2.24,1,6.97
BK_TG2_01,B,TG,15,1.95,0,5.6
BK_TG2_01,B,TG,15,1.95,1,6.31
BK_TG2_02,B,TG,20,2.17,1,6.09
BK_TG2_02,B,TG,20,2.17,0,5.81
BK_TG2_03,B,TG,12,1.74,0,4.94
BK_TG2_03,B,TG,12,1.74,1,5.39
BK_TG2_04,B,TG,12,1.74,0,5.12
BK_TG2_04,B,TG,12,1.74,1,4.99
BK_TG2_05,B,TG,19,2.39,1,5.43
BK_TG2_05,B,TG,19,2.39,0,4.93
BK_TG_01,B,TG,25,2.73,0,7.91
BK_TG_01,B,TG,25,2.73,1,7.89
BK_TG_02,B,TG,27,2.58,1,7.27
BK_TG_02,B,TG,27,2.58,0,6.9
BK_TG_03,B,TG,18,2.13,0,6.89
BK_TG_03,B,TG,18,2.13,1,7.67
BK_TG_04,B,TG,19,2.19,1,8.06
BK_TG_04,B,TG,19,2.19,0,7.59
BK_TG_05,B,TG,25,2.53,0,7.93
BK_TG_05,B,TG,25,2.53,1,8.15
BK_T_01,B,T,21,2.66,0,6.82
BK_T_01,B,T,21,2.66,1,6.97
BK_T_02,B,T,23,2.14,0,6.89
BK_T_02,B,T,23,2.14,1,7.04
BK_T_03,B,T,20,1.86,1,7.05
BK_T_03,B,T,20,1.86,0,7.06
BK_T_04,B,T,17,1.59,1,6.19
BK_T_04,B,T,17,1.59,0,5.75
BK_T_05,B,T,20,1.84,0,6.56
BK_T_05,B,T,20,1.84,1,7.03
BM_R_01,B,R,22,2.35,0,5.45
BM_R_01,B,R,22,2.35,1,5.67
BM_R_02,B,R,23,2.2,1,7.06
BM_R_02,B,R,23,2.2,0,6.3
BM_R_03,B,R,23,2.3,0,5.55
BM_R_03,B,R,23,2.3,1,5.98
BM_R_04,B,R,23,2.47,1,6.22
BM_R_04,B,R,23,2.47,0,5.98
BM_R_05,B,R,18,2.25,0,6.43
