site_ID,grassland_type,restoration_measure,depth,pH
WV_TG_05,H,T,1,5.68
AA_T_02,H,T,1,5.55
HV_R_03,H,R,1,4.62
WV_TG_01,H,T,1,5.28
DZ_R_01,H,R,0,4.45
AS_T_01,H,T,0,5.29
HV_R_02,H,R,1,5.11
DZ_R_05,H,R,0,5.48
WV_TG_02,H,T,1,5.26
RK_T_05,H,T,1,5.73
HV_R_05,H,R,1,4.82
DV_R_02,H,R,0,4.33
DZ_R_04,H,R,1,5.32
RK_TG_03,H,T,0,5.6
HV_R_04,H,R,1,4.77
RK_T_04,H,T,1,5.61
RK_T_02,H,T,0,5.7
SD_T_03,H,T,1,5.59
RK_T_03,H,T,0,6.04
SD_T_05,H,T,0,5.27
AS_T_05,H,T,0,5.51
AS_T_04,H,T,1,6.1
RK_TG_01,H,T,1,6.14
HV_R_01,H,R,1,4.88
HV_R_04,H,R,0,4.72
BH_TG_02,B,TG,1,3.05
DZ_R_03,H,R,1,5.6
DZ_R_02,H,R,0,5.31
RK_T_01,H,T,0,5.33
AS_T_02,H,T,1,5.84
WV_T_03,B,T,1,4.3
RK_TG_05,H,T,1,5.71
HV_R_05,H,R,0,4.55
DZ_R_04,H,R,0,4.97
DZ_R_01,H,R,1,4.83
GG_TG_04,B,TG,1,8.49
RK_TG_02,H,T,0,6.68
AA_T_01,H,T,0,5.68
HB_TG_01,B,TG,0,7.03
SH_T_04,B,T,1,5.79
SB_TG_02,B,TG,1,6.44
SD_T_03,H,T,0,5.6
SD_T_01,H,T,0,5.47
BM_R_02,B,R,1,7.06
RK_T_05,H,T,0,5.63
LS_R_01,B,R,0,4.73
WV_T_02,B,T,1,5.02
WW_R_02,B,R,1,5.36
BK_T_03,B,T,1,7.05
KD_R_04,B,R,1,5.43
SD_T_01,H,T,1,5.43
SV_R_02,B,R,1,4.33
LM_T_03,B,T,1,7.61
DV_R_05,H,R,0,5.0
KD_R_02,B,R,0,5.92
BK_T_05,B,T,0,6.56
AA_T_04,H,T,1,5.35
SV_TG_01,B,TG,0,5.81
SD_T_02,H,T,1,5.53
BK_TG_04,B,TG,1,8.06
LS_R_05,B,R,1,4.84
AA_T_04,H,T,0,5.14
GG_TG_02,B,TG,0,5.54
