site,plot_id,gen_sp,common_nNL,cover,latitude,longitude,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Carex_panicea,Blauwe zegge,2a,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Carex_vesicaria,Blaaszegge,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Cynosurus_cristatus,Kamgras,1,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Equisetum_fluviatile,Holpijp,2a,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Eriophorum_angustifolium,Veenpluis,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Holcus_lanatus,Gestreepte witbol,1,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Juncus_articulatus,Zomprus,3,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Lotus_pedunculatus,Moerasrolklaver,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Lysimachia_thyrsiflora,Moeraswederik,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Pedicularis_palustris,Moeraskartelblad,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Rhinanthus_angustifolius,Grote ratelaar,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Salix_cinerea,Grauwe en Rossige wilg,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Succisa_pratensis,Blauwe knoop,2a,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Trifolium_dubium,Kleine klaver,1,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Trifolium_repens,Witte klaver,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Dactylorhiza_majalis,Brede orchis,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Euphrasia_stricta,Stijve ogentroost,2a,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Galium_palustre,Moeraswalstro,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Elytrigia_repens,Kweek,+,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_01,Dactylorhiza_praetermissa,Rietorchis,2a,51.68139,5.26857,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Carex_panicea,Blauwe zegge,3,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Equisetum_fluviatile,Holpijp,1,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Holcus_lanatus,Gestreepte witbol,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Lotus_pedunculatus,Moerasrolklaver,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Salix_cinerea,Grauwe en Rossige wilg,r,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Succisa_pratensis,Blauwe knoop,2a,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Euphrasia_stricta,Stijve ogentroost,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Dactylorhiza_praetermissa,Rietorchis,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Anthoxanthum_odoratum,Gewoon reukgras,1,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Betula_pubescens,Zachte berk,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Cirsium_dissectum,Spaanse ruiter,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Drosera_intermedia,Kleine zonnedauw,1,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Hypochaeris_radicata,Gewoon biggenkruid,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Juncus_effusus,Pitrus,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Prunella_vulgaris,Gewone brunel,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_02,Trifolium_pratense,Rode klaver,+,51.681680,5.269428,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Carex_panicea,Blauwe zegge,2b,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Equisetum_fluviatile,Holpijp,2m,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Lotus_pedunculatus,Moerasrolklaver,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Lysimachia_thyrsiflora,Moeraswederik,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Pedicularis_palustris,Moeraskartelblad,2a,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Rhinanthus_angustifolius,Grote ratelaar,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Salix_cinerea,Grauwe en Rossige wilg,2a,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Succisa_pratensis,Blauwe knoop,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Euphrasia_stricta,Stijve ogentroost,r,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Galium_palustre,Moeraswalstro,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Dactylorhiza_praetermissa,Rietorchis,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Betula_pubescens,Zachte berk,r,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Hypochaeris_radicata,Gewoon biggenkruid,r,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Betula_pendula,Ruwe berk,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Cardamine_pratensis,Pinksterbloem,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Filipendula_ulmaria,Moerasspirea,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Hypericum_tetrapterum,Gevleugeld hertshooi,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Lythrum_salicaria,Grote kattenstaart,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Phalaris_arundinacea,Rietgras,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_03,Sanguisorba_officinalis,Grote pimpernel,+,51.681860,5.269117,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Carex_panicea,Blauwe zegge,2b,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Equisetum_fluviatile,Holpijp,2m,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Juncus_articulatus,Zomprus,2b,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Lotus_pedunculatus,Moerasrolklaver,1,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Rhinanthus_angustifolius,Grote ratelaar,2a,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Salix_cinerea,Grauwe en Rossige wilg,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Succisa_pratensis,Blauwe knoop,1,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Trifolium_dubium,Kleine klaver,2a,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Trifolium_repens,Witte klaver,r,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Dactylorhiza_praetermissa,Rietorchis,r,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Euphrasia_stricta,Stijve ogentroost,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Galium_palustre,Moeraswalstro,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Elytrigia_repens,Kweek,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Betula_pubescens,Zachte berk,1,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Cirsium_dissectum,Spaanse ruiter,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Betula_pendula,Ruwe berk,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Cardamine_pratensis,Pinksterbloem,r,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Filipendula_ulmaria,Moerasspirea,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Phalaris_arundinacea,Rietgras,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Sanguisorba_officinalis,Grote pimpernel,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Luzula_campestris,Gewone veldbies,+,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_04,Hypericum_maculatum,Kantig/Gevlekt hertshooi,1,51.681718,5.268783,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Carex_panicea,Blauwe zegge,2b,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Equisetum_fluviatile,Holpijp,1,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Holcus_lanatus,Gestreepte witbol,r,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Juncus_articulatus,Zomprus,1,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Lotus_pedunculatus,Moerasrolklaver,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Lysimachia_thyrsiflora,Moeraswederik,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Pedicularis_palustris,Moeraskartelblad,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Rhinanthus_angustifolius,Grote ratelaar,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Salix_cinerea,Grauwe en Rossige wilg,2a,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Succisa_pratensis,Blauwe knoop,1,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Euphrasia_stricta,Stijve ogentroost,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Galium_palustre,Moeraswalstro,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Dactylorhiza_praetermissa,Rietorchis,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Anthoxanthum_odoratum,Gewoon reukgras,+,51.681676,5.268691,
Honderd Morgen (Vlijmen Ven),VV_B_TG_05,Betula_pubescens,Zachte berk,+,51.681676,5.268691,
